分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 5, IPv4: 134, IPv6: 0, 最小延迟: 305 ms, 最高速率: 1.65 M/s, 平均速率: 1.03 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 安徽卫视, 有效: 5, IPv4: 139, IPv6: 0, 最小延迟: 8 ms, 最高速率: 12.54 M/s, 平均速率: 1.75 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 东方卫视, 有效: 5, IPv4: 129, IPv6: 0, 最小延迟: 238 ms, 最高速率: 23.62 M/s, 平均速率: 7.05 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 5, IPv4: 138, IPv6: 0, 最小延迟: 16 ms, 最高速率: 6.45 M/s, 平均速率: 1.02 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 东南卫视, 有效: 5, IPv4: 123, IPv6: 0, 最小延迟: 4 ms, 最高速率: 56.44 M/s, 平均速率: 1.45 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 5, IPv4: 98, IPv6: 0, 最小延迟: 8 ms, 最高速率: 11.59 M/s, 平均速率: 2.11 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 广西卫视, 有效: 5, IPv4: 110, IPv6: 0, 最小延迟: 248 ms, 最高速率: 1.65 M/s, 平均速率: 1.08 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 6, IPv4: 119, IPv6: 0, 最小延迟: 241 ms, 最高速率: 6.87 M/s, 平均速率: 1.91 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 海南卫视, 有效: 5, IPv4: 108, IPv6: 0, 最小延迟: 31 ms, 最高速率: 3.05 M/s, 平均速率: 0.72 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河北卫视, 有效: 6, IPv4: 121, IPv6: 0, 最小延迟: 5 ms, 最高速率: 57.18 M/s, 平均速率: 0.73 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河南卫视, 有效: 5, IPv4: 136, IPv6: 0, 最小延迟: 34 ms, 最高速率: 8.85 M/s, 平均速率: 2.79 M/s, 最高分辨率: 1920x1080
